,Employee_ID,Name,email,gender,Department,Education level,Date Hired,Still Employed,Work-Life Balance Score,Absenteeism Rate,Performance Review Score,Training Courses Attended,Current Salary,Benefits,Source of Hire,Starting Salary,Salary Growth (%),Promoted,reason_for_leaving,last_day_of_employment,root_cause_leaving,turnover_type,Performance_group
42,43,Phaedra Flucker,pflucker16@vkontakte.ru,Female,Training,Associate's Degree,1975-04-23,False,3,Moderate,Below Expectations,Cybersecurity Basics,104709.17,gym membership,Employee referral,55000,90.38030909090908,Yes,Relocation,2006-03-25,Personal - Life Events,Voluntary,Low
43,44,Burr Cuer,bcuer17@is.gd,Male,Human Resources,PhD,2016-01-25,False,2,High,Needs Improvement,Leadership Development Program,83965.91,free snacks,Job board,65000,29.17832307692309,No,Retirement,2020-03-19,Natural Attrition,Voluntary,Low
44,45,Georgette Coule,gcoule18@qq.com,Female,Product Management,High School Diploma,2012-03-21,True,1,High,Needs Improvement,Advanced Excel Techniques,81033.24,flexible work hours,Job board,95000,-14.70185263157894,No,,,,,Low
45,46,Berkley Renton,brenton19@google.co.jp,Male,Sales,Professional Degree,2000-03-16,True,1,Low,Outstanding,Cybersecurity Basics,70582.34,free snacks,Job board,60000,17.63723333333333,Yes,,,,,High
46,47,Andie Fessler,afessler1a@bizjournals.com,Male,Product Management,Master's Degree,2021-03-04,True,3,Low,Below Expectations,Advanced Excel Techniques,68413.73,401k matching,Company website,60000,14.02288333333333,Yes,,,,,Low
47,48,Tallie Shovelin,tshovelin1b@sfgate.com,Female,Business Development,Professional Degree,2011-05-25,False,2,Low,Superior,Leadership Development Program,71277.06,401k matching,Employee referral,50000,42.55412,No,Relocation,2023-08-08,Personal - Life Events,Voluntary,High
48,49,Darrel Ritchley,dritchley1c@unesco.org,Male,Engineering,Master's Degree,2001-04-24,True,2,High,Below Expectations,Effective Communication Skills,118647.6,401k matching,Employee referral,75000,58.1968,Yes,,,,,Low
49,50,Zeke Kedwell,zkedwell1d@sakura.ne.jp,Male,Human Resources,PhD,2008-02-16,True,2,Moderate,Unsatisfactory,Project Management Fundamentals,40156.56,professional development opportunities,Recruiter,85000,-52.75698823529412,No,,,,,Low
50,51,Clementina Miklem,cmiklem1e@ftc.gov,Female,Engineering,PhD,2011-01-11,True,4,Moderate,Exceptional,Negotiation Skills Workshop,91833.72,free snacks,Employee referral,70000,31.19102857142857,Yes,,,,,High
51,52,Chrysa Parradine,cparradine1f@netvibes.com,Female,Accounting,Professional Degree,2019-12-23,True,4,High,Below Expectations,Effective Communication Skills,149801.72,gym membership,Company website,65000,130.4641846153846,No,,,,,Low
52,53,Taite Proudlock,tproudlock1g@arizona.edu,Male,Accounting,High School Diploma,2004-10-19,False,4,Low,Below Expectations,Public Speaking Mastery,131450.83,paid time off,Recruiter,50000,162.90166,No,Relocation,2022-07-22,Personal - Life Events,Voluntary,Low
53,54,Dolf Millard,dmillard1h@europa.eu,Male,Human Resources,High School Diploma,2012-11-16,True,4,Moderate,Good,Leadership Development Program,103837.51,company car,Employee referral,50000,107.67502,No,,,,,Meet Expectation
54,55,Vinni Willett,vwillett1i@t.co,Female,Product Management,Associate's Degree,1995-04-12,True,4,High,Outstanding,Effective Communication Skills,100639.53,health insurance,Recruiter,75000,34.18604,Yes,,,,,High
55,56,Tadeo Latham,tlatham1j@csmonitor.com,Male,Support,High School Diploma,2017-11-01,True,3,High,Below Expectations,Advanced Excel Techniques,50687.23,flexible work hours,Social media,55000,-7.841399999999994,No,,,,,Low
56,57,Shantee Partkya,spartkya1k@clickbank.net,Female,Research and Development,High School Diploma,2011-02-09,True,3,High,Below Expectations,Public Speaking Mastery,74418.78,health insurance,Company website,65000,14.49043076923077,Yes,,,,,Low
57,58,Nora Ranns,nranns1l@sina.com.cn,Female,Services,Bachelor's Degree,1992-05-29,False,4,Low,Unsatisfactory,Customer Service Excellence,83577.95,performance bonuses,Company website,50000,67.15589999999999,Yes,Lack of growth opportunities,2014-10-25,Career & Compensation,Voluntary,Low
58,59,Valeda Felton,vfelton1m@abc.net.au,Female,Support,Bachelor's Degree,1996-05-19,False,2,Moderate,Exceptional,Customer Service Excellence,49215.52,gym membership,Social media,85000,-42.09938823529412,Yes,Career change,2001-08-25,Career & Compensation,Voluntary,High
59,60,Joycelin Platts,jplatts1n@ed.gov,Female,Training,High School Diploma,1981-05-13,False,1,Low,Excellent,Effective Communication Skills,78788.78,paid time off,Employee referral,70000,12.5554,Yes,Personal reasons,2008-04-29,Personal - Life Events,Voluntary,High
60,61,Teodora Guerre,tguerre1o@facebook.com,Female,Support,Associate's Degree,2014-12-11,False,2,Moderate,Unsatisfactory,Leadership Development Program,147335.37,remote work option,Recruiter,90000,63.70596666666665,Yes,Retirement,2020-10-12,Natural Attrition,Voluntary,Low
61,62,Alasteir Smuth,asmuth1p@scientificamerican.com,Male,Training,Master's Degree,2007-01-25,False,1,Low,Average,Advanced Excel Techniques,72296.18,company car,Social media,80000,-9.62977500000001,No,Relocation,2017-06-10,Personal - Life Events,Voluntary,Meet Expectation
62,63,Redford Larraway,rlarraway1q@mlb.com,Male,Business Development,Bachelor's Degree,1976-05-04,False,2,Moderate,Outstanding,Introduction to Data Science,111611.74,company car,Employee referral,75000,48.81565333333334,No,Contract ended,2001-10-06,Contract Expiration,Involuntary,High
63,64,Galina Wynne,gwynne1r@samsung.com,Female,Legal,PhD,2010-03-08,True,1,Moderate,Exceptional,Advanced Excel Techniques,131660.18,paid time off,Social media,95000,38.58966315789473,Yes,,,,,High
64,65,Karena Gwillyam,kgwillyam1s@time.com,Female,Training,Master's Degree,2005-05-16,True,5,Moderate,Needs Improvement,Advanced Excel Techniques,57391.64,401k matching,Job board,65000,-11.70516923076923,Yes,,,,,Low
65,66,Milt Sleany,msleany1t@biglobe.ne.jp,Male,Accounting,PhD,2003-03-10,True,5,Moderate,Exceptional,Advanced Excel Techniques,88438.1,company car,Social media,55000,60.79654545454547,No,,,,,High
66,67,Ban Annesley,bannesley1u@g.co,Male,Human Resources,Master's Degree,2009-12-14,True,1,Low,Average,Digital Marketing Strategies,144965.82,paid time off,Company website,65000,123.0243384615385,Yes,,,,,Meet Expectation
67,68,Florie Vanyushin,fvanyushin1v@ft.com,Female,Legal,Associate's Degree,1992-08-27,False,1,Low,Average,Introduction to Data Science,132266.89,401k matching,Employee referral,80000,65.33361250000002,No,Health reasons,2005-12-12,Personal - Life Events,Voluntary,Meet Expectation
68,69,Betty French,bfrench1w@shutterfly.com,Female,Product Management,Bachelor's Degree,1991-08-11,True,3,Moderate,Outstanding,Customer Service Excellence,144342.1,health insurance,Recruiter,55000,162.4401818181818,No,,,,,High
69,70,Keen McMearty,kmcmearty1x@chronoengine.com,Male,Product Management,Bachelor's Degree,2004-06-29,True,2,Low,Excellent,Effective Communication Skills,71296.62,free snacks,Recruiter,85000,-16.12162352941177,Yes,,,,,High
70,71,Ammamaria Pulley,apulley1y@soup.io,Female,Support,PhD,2004-09-15,False,5,High,Outstanding,Public Speaking Mastery,73627.99,free snacks,Job board,50000,47.25598000000001,Yes,Retirement,2019-11-17,Natural Attrition,Voluntary,High
71,72,Marita Rudgerd,mrudgerd1z@columbia.edu,Female,Accounting,High School Diploma,1991-09-26,False,3,High,Superior,Cybersecurity Basics,104853.85,health insurance,Employee referral,50000,109.7077,No,Contract ended,2009-02-24,Contract Expiration,Involuntary,High
72,73,Benson Erbe,berbe20@shutterfly.com,Male,Training,Master's Degree,2021-10-10,True,1,Low,Satisfactory,Negotiation Skills Workshop,85360.44,company car,Employee referral,60000,42.2674,No,,,,,Meet Expectation
73,74,Leah Jindrak,ljindrak21@pen.io,Female,Sales,Professional Degree,2009-07-24,False,4,High,Exceptional,Advanced Excel Techniques,44497.27,paid time off,Employee referral,85000,-47.6502705882353,Yes,Health reasons,2021-10-31,Personal - Life Events,Voluntary,High
74,75,Emmie Lampl,elampl22@vkontakte.ru,Female,Product Management,Professional Degree,2007-10-28,False,3,Moderate,Satisfactory,Introduction to Data Science,101630.1,flexible work hours,Employee referral,85000,19.56482352941177,Yes,Retirement,2019-05-27,Natural Attrition,Voluntary,Meet Expectation
75,76,Demetra Josefsson,djosefsson23@springer.com,Female,Human Resources,Bachelor's Degree,1993-07-05,True,1,Low,Unsatisfactory,Project Management Fundamentals,61275.78,paid time off,Employee referral,65000,-5.729569230769233,No,,,,,Low
76,77,Klara Haithwaite,khaithwaite24@army.mil,Female,Marketing,Bachelor's Degree,1995-09-19,True,4,Moderate,Below Expectations,Effective Communication Skills,76935.14,gym membership,Job board,60000,28.22523333333333,Yes,,,,,Low
77,78,Pascale Agneau,pagneau25@cpanel.net,Male,Business Development,Bachelor's Degree,1998-12-21,True,1,High,Needs Improvement,Customer Service Excellence,105162.71,flexible work hours,Job board,75000,40.21694666666667,Yes,,,,,Low
78,79,Sybyl Sailes,ssailes26@sakura.ne.jp,Female,Training,Master's Degree,2009-09-04,True,2,Moderate,Good,Introduction to Data Science,101490.49,401k matching,Job board,95000,6.832094736842111,No,,,,,Meet Expectation
79,80,Trueman Beekmann,tbeekmann27@squidoo.com,Male,Engineering,PhD,2014-06-30,True,1,Low,Outstanding,Introduction to Data Science,92782.42,professional development opportunities,Job board,75000,23.70989333333333,No,,,,,High
80,81,Joellyn Cumberlidge,jcumberlidge28@live.com,Female,Product Management,PhD,1995-11-11,False,4,Low,Unsatisfactory,Advanced Excel Techniques,75210.3,company car,Recruiter,65000,15.70815384615385,Yes,Company downsizing,2019-08-25,Organizational Restructuring,Involuntary,Low
81,82,Matias Trowler,mtrowler29@webnode.com,Male,Services,Master's Degree,1979-11-13,False,1,Moderate,Excellent,Cybersecurity Basics,48586.42,401k matching,Social media,65000,-25.25166153846154,No,Contract ended,2007-05-30,Contract Expiration,Involuntary,High
82,83,Witty Chattaway,wchattaway2a@spotify.com,Male,Engineering,PhD,2022-01-23,True,5,Moderate,Needs Improvement,Public Speaking Mastery,58771.15,remote work option,Social media,80000,-26.5360625,No,,,,,Low
83,84,Bliss McKerley,bmckerley2b@statcounter.com,Female,Business Development,Professional Degree,1994-04-06,False,1,Moderate,Good,Cybersecurity Basics,72072.42,401k matching,Recruiter,95000,-24.13429473684211,Yes,Lack of growth opportunities,2007-06-18,Career & Compensation,Voluntary,Meet Expectation
84,85,Jami Durnall,jdurnall2c@surveymonkey.com,Female,Research and Development,Bachelor's Degree,1995-09-22,False,2,Moderate,Below Expectations,Leadership Development Program,77462.99,flexible work hours,Job board,80000,-3.171262499999993,Yes,Found a better opportunity,2021-05-27,Career & Compensation,Voluntary,Low
85,86,Pepita Perrat,pperrat2d@google.es,Female,Marketing,Bachelor's Degree,2007-11-01,False,5,Moderate,Average,Digital Marketing Strategies,86123.6,gym membership,Social media,70000,23.03371428571429,No,Lack of growth opportunities,2021-02-25,Career & Compensation,Voluntary,Meet Expectation
86,87,Tillie Hillhouse,thillhouse2e@wsj.com,Female,Human Resources,Associate's Degree,1971-04-10,False,4,Low,Superior,Digital Marketing Strategies,105723.13,health insurance,Social media,95000,11.2875052631579,No,Found a better opportunity,2002-02-06,Career & Compensation,Voluntary,High
87,88,Birgit Ding,bding2f@shop-pro.jp,Female,Human Resources,Associate's Degree,2019-04-19,False,2,Moderate,Needs Improvement,Effective Communication Skills,59787.57,paid time off,Company website,65000,-8.019123076923078,Yes,Family commitments,2022-05-31,Personal - Life Events,Voluntary,Low
88,89,Ber Hember,bhember2g@bbb.org,Male,Sales,Bachelor's Degree,2010-11-19,True,4,High,Superior,Leadership Development Program,51936.69,company car,Employee referral,70000,-25.80472857142857,No,,,,,High
89,90,Gabby Clinton,gclinton2h@t.co,Male,Training,PhD,2004-11-22,False,2,Low,Good,Negotiation Skills Workshop,48312.49,free snacks,Company website,80000,-39.6093875,Yes,Retirement,2024-01-21,Natural Attrition,Voluntary,Meet Expectation
90,91,Ladonna De Cristoforo,lde2i@constantcontact.com,Female,Legal,PhD,1997-03-19,False,4,Moderate,Average,Cybersecurity Basics,40482.27,company car,Employee referral,75000,-46.02364000000001,Yes,Career change,2002-12-20,Career & Compensation,Voluntary,Meet Expectation
91,92,Wald Lazar,wlazar2j@nytimes.com,Male,Sales,Master's Degree,2011-05-24,True,2,High,Satisfactory,Negotiation Skills Workshop,61247.64,health insurance,Job board,80000,-23.44045,Yes,,,,,Meet Expectation
92,93,Hunt Shilvock,hshilvock2k@weather.com,Male,Research and Development,Associate's Degree,2007-06-24,True,2,High,Good,Negotiation Skills Workshop,80780.87,paid time off,Employee referral,75000,7.70782666666666,Yes,,,,,Meet Expectation
93,94,Caryl Keasy,ckeasy2l@elpais.com,Male,Research and Development,PhD,2023-09-27,True,3,Moderate,Average,Digital Marketing Strategies,113143.33,flexible work hours,Job board,75000,50.85777333333333,No,,,,,Meet Expectation
94,95,Bird Sholl,bsholl2m@loc.gov,Female,Services,High School Diploma,2002-10-25,False,2,High,Excellent,Leadership Development Program,100173.8,remote work option,Company website,55000,82.13418181818183,Yes,Contract ended,2013-09-17,Contract Expiration,Involuntary,High
95,96,Reyna Breese,rbreese2n@vinaora.com,Female,Accounting,Bachelor's Degree,2010-04-18,False,4,Moderate,Superior,Customer Service Excellence,84632.19,professional development opportunities,Company website,55000,53.87670909090909,No,Personal reasons,2017-09-21,Personal - Life Events,Voluntary,High
96,97,Enrico Thain,ethain2o@blogspot.com,Male,Product Management,High School Diploma,1994-02-03,True,4,Low,Good,Introduction to Data Science,74075.83,gym membership,Job board,90000,-17.69352222222222,No,,,,,Meet Expectation
97,98,Tomasine Denisot,tdenisot2p@cmu.edu,Female,Support,Associate's Degree,1974-11-10,False,5,High,Unsatisfactory,Leadership Development Program,118698.77,remote work option,Employee referral,90000,31.88752222222223,Yes,Personal reasons,2001-12-22,Personal - Life Events,Voluntary,Low
98,99,Cullin Vowles,cvowles2q@furl.net,Male,Business Development,Associate's Degree,2014-12-20,True,3,Moderate,Exceptional,Digital Marketing Strategies,71536.38,paid time off,Company website,60000,19.22730000000001,Yes,,,,,High
99,100,Ambrosius Yashaev,ayashaev2r@furl.net,Male,Engineering,High School Diploma,2016-02-22,True,2,Low,Satisfactory,Digital Marketing Strategies,117706.75,remote work option,Social media,50000,135.4135,No,,,,,Meet Expectation
100,101,Bartie MacVanamy,bmacvanamy2s@yandex.ru,Male,Research and Development,Bachelor's Degree,2020-04-14,True,3,High,Average,Cybersecurity Basics,95700.82,company car,Recruiter,95000,0.7377052631579021,No,,,,,Meet Expectation
101,102,Laurel Pafford,lpafford2t@bigcartel.com,Female,Human Resources,Professional Degree,1974-11-16,False,1,Low,Good,Public Speaking Mastery,65727.78,company car,Company website,60000,9.5463,Yes,Retirement,2002-10-02,Natural Attrition,Voluntary,Meet Expectation
102,103,Lothario Catt,lcatt2u@jugem.jp,Male,Services,Bachelor's Degree,2015-05-27,True,4,Low,Good,Negotiation Skills Workshop,88386.64,professional development opportunities,Recruiter,65000,35.97944615384615,No,,,,,Meet Expectation
103,104,Adelina Heppner,aheppner2v@rambler.ru,Female,Legal,Master's Degree,1996-04-20,True,2,High,Needs Improvement,Digital Marketing Strategies,65353.22,remote work option,Company website,75000,-12.86237333333333,Yes,,,,,Low
104,105,Suzette Harsent,sharsent2w@opera.com,Female,Sales,Master's Degree,2009-03-16,True,1,Low,Unsatisfactory,Cybersecurity Basics,43384.16,401k matching,Recruiter,60000,-27.69306666666666,Yes,,,,,Low
105,106,Beitris Paulitschke,bpaulitschke2x@mayoclinic.com,Female,Legal,Bachelor's Degree,2006-08-04,True,5,Moderate,Unsatisfactory,Project Management Fundamentals,81764.55,company car,Employee referral,50000,63.52910000000001,Yes,,,,,Low
106,107,Christel Joriot,cjoriot2y@furl.net,Female,Legal,Professional Degree,2019-05-21,False,1,Low,Outstanding,Public Speaking Mastery,121223.58,professional development opportunities,Recruiter,60000,102.0393,Yes,Retirement,2021-05-30,Natural Attrition,Voluntary,High
107,108,Tate Marmon,tmarmon2z@intel.com,Male,Business Development,Bachelor's Degree,2019-01-09,True,4,Low,Excellent,Advanced Excel Techniques,120163.99,remote work option,Recruiter,50000,140.32798,No,,,,,High
108,109,Barbette Beedie,bbeedie30@booking.com,Female,Product Management,Associate's Degree,2009-11-07,True,5,Low,Unsatisfactory,Advanced Excel Techniques,133634.54,paid time off,Recruiter,70000,90.90648571428572,No,,,,,Low
109,110,Livvyy Ladbrook,lladbrook31@smh.com.au,Female,Sales,Associate's Degree,2002-03-26,False,4,Low,Excellent,Customer Service Excellence,113349.78,paid time off,Social media,90000,25.9442,No,Found a better opportunity,2021-05-17,Career & Compensation,Voluntary,High
110,111,Vida Enstone,venstone32@newyorker.com,Female,Human Resources,High School Diploma,2016-08-05,True,1,High,Below Expectations,Public Speaking Mastery,47049.79,remote work option,Employee referral,90000,-47.72245555555556,No,,,,,Low
111,112,Libby Arnault,larnault33@deviantart.com,Female,Research and Development,Associate's Degree,1987-10-22,False,2,High,Below Expectations,Cybersecurity Basics,141675.02,remote work option,Social media,90000,57.41668888888888,Yes,Contract ended,2013-06-23,Contract Expiration,Involuntary,Low
112,113,Leroy Edghinn,ledghinn34@technorati.com,Male,Product Management,Master's Degree,2000-12-05,True,3,Low,Average,Leadership Development Program,83855.44,company car,Recruiter,70000,19.79348571428572,No,,,,,Meet Expectation
113,114,Shawnee Lancastle,slancastle35@163.com,Female,Product Management,High School Diploma,1974-12-22,False,4,Moderate,Good,Project Management Fundamentals,62470.42,flexible work hours,Social media,50000,24.94084,Yes,Lack of growth opportunities,2004-08-18,Career & Compensation,Voluntary,Meet Expectation
114,115,Hamish Fogg,hfogg36@exblog.jp,Male,Support,High School Diploma,2017-01-13,True,3,Moderate,Superior,Leadership Development Program,89545.56,gym membership,Job board,75000,19.39408,Yes,,,,,High
